source_file,service_code,line_name,vehicle_journey_code,line_ref,route_description,direction,scheduled_departure_time,operating_days,scheduled_duration_minutes,operating_day,calendar_date,hour,delay_minutes,synthetic_latitude,synthetic_longitude
ME14-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_3_20260719-BODS_V1_1.xml,PC1033334:3,14,VJ466,SCMY:PC1033334:3:14A,Croxteth - Liverpool,inbound,11:16:00,"Monday,Tuesday,Wednesday,Thursday,Friday",57.0,Wednesday,2025-08-06,11,3.47,53.384344425615666,-2.792182092159923
CHPR2-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-F__SCMY_PC1033334_382_20260405-BODS_V1_1.xml,PC1033334:382,PR2,VJ312,SCMY:PC1033334:382:PR2,Boughton Heath PR - Chester,outbound,14:45:00,Sunday,20.0,Sunday,2025-08-31,14,1.77,53.345902682509156,-2.6760989211339954
CH14-None--SCMY-CZ-2026-03-29-Chester_July_2026_(SchOut)__SCMY_PC1033334_197_20260719-BODS_V1_1.xml,PC1033334:197,14,VJ1250,SCMY:PC1033334:197:14A,Chester - Blacon Parade,inbound,12:08:00,Saturday,30.0,Saturday,2025-08-30,12,-1.6,53.412579845834514,-2.8605748711024295
20-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_15_20260103-BODS_V1_1.xml,PC1033334:15,20,VJ3390,SCMY:PC1033334:15:20,Paradise St - Towerhill,outbound,11:55:00,Saturday,59.0,Saturday,2026-05-30,11,-0.38,53.376432444140335,-2.7775817872081645
CH16-None--SCMY-CZ-2026-03-29-Chester_July_2026_(SchOut)__SCMY_PC1033334_202_20260719-BODS_V1_1.xml,PC1033334:202,16,VJ405,SCMY:PC1033334:202:16,Chester - Saltney,inbound,14:46:00,"Monday,Tuesday,Wednesday,Thursday,Friday",34.0,Thursday,2025-08-07,14,5.01,53.35267540352228,-2.907271632076073
5-None--SCMY-CZ-2026-03-29-Chester_July_2026_(SchOut)__SCMY_PC1033334_198_20260719-BODS_V1_1.xml,PC1033334:198,5,VJ1517,SCMY:PC1033334:198:5,Chester - Wrexham,outbound,11:38:00,"Monday,Tuesday,Wednesday,Thursday,Friday",23.0,Friday,2026-01-30,11,2.64,53.312421376906606,-2.7022384313943504
19-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_14_20260719-BODS_V1_1.xml,PC1033334:14,19,VJ141,SCMY:PC1033334:14:19,Liverpool - Kirkby,outbound,12:39:00,"Monday,Tuesday,Wednesday,Thursday,Friday",46.0,Thursday,2025-10-23,12,2.52,53.46411945031384,-2.669936551720095
82-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_106_20260103-BODS_V1_1.xml,PC1033334:106,82,VJ2666,SCMY:PC1033334:106:82,Paradise St - Garston Speke RdR,inbound,11:15:00,"Monday,Tuesday,Wednesday,Thursday,Friday",38.0,Friday,2025-08-29,11,2.31,53.32747019333816,-2.923466900239959
53-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_19_20260103-BODS_V1_1.xml,PC1033334:19,53,VJ2152,SCMY:PC1033334:19:53,Queen Square - Crosby,inbound,09:47:00,"Monday,Tuesday,Wednesday,Thursday,Friday",53.0,Friday,2026-04-03,9,23.0,53.34069121943221,-2.812885764273092
17-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_12_20260103-BODS_V1_1.xml,PC1033334:12,17,VJ829,SCMY:PC1033334:12:17,Liverpool - Kirby Ind Est,inbound,09:45:00,Saturday,36.0,Saturday,2025-09-20,9,-0.5,53.38966360560779,-2.6592483138785834
10A-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_5_20260719-BODS_V1_1.xml,PC1033334:5,10A,VJ2841,SCMY:PC1033334:5:10A,St Helens - Liverpool,inbound,14:30:00,"Monday,Tuesday,Wednesday,Thursday,Friday",98.0,Monday,2025-12-15,14,-0.5,53.406856573514744,-2.8424850978967293
X2-None--SCMY-CZ-2026-03-29-Chester_July_2026_(SchOut)__SCMY_PC1033334_224_20260719-BODS_V1_1.xml,PC1033334:224,2,VJ1111,SCMY:PC1033334:224:2,Chester - Ellesmere Port - Runcorn,outbound,17:15:00,Saturday,91.0,Saturday,2025-10-25,17,1.44,53.376689514476894,-2.863085147516661
CH53-None--SCMY-CZ-2026-03-29-Chester_July_2026_(SchOut)__SCMY_PC1033334_188_20260719-BODS_V1_1.xml,PC1033334:188,52,VJ267,SCMY:PC1033334:188:53,Chester Bus Interchange - Kingsway,outbound,15:50:00,"Monday,Tuesday,Wednesday,Thursday,Friday",13.0,Friday,2026-07-03,15,12.81,53.30663240378607,-2.9539097194128576
10A-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_5_20260719-BODS_V1_1.xml,PC1033334:5,10A,VJ2852,SCMY:PC1033334:5:10A,St Helens - Liverpool,inbound,16:23:00,"Monday,Tuesday,Wednesday,Thursday,Friday",94.0,Friday,2026-01-02,16,6.19,53.33094951999134,-2.8420642310666544
CH84-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Fi__SCMY_PC1033334_535_20260405-BODS_V1_1.xml,PC1033334:535,84,VJ1252,SCMY:PC1033334:535:84,"Chester Interchange, Stand L - Crewe Bus Station, 5",outbound,08:27:00,"Monday,Tuesday,Wednesday,Thursday,Friday",92.0,Friday,2025-12-19,8,16.84,53.47418300527324,-2.742728947324769
86C-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_120_20260719-BODS_V1_1.xml,PC1033334:120,86,VJ1504,SCMY:PC1033334:120:86,Liverpool ONE - South Parkway,outbound,22:05:00,"Monday,Tuesday,Wednesday,Thursday,Friday",41.0,Tuesday,2026-01-27,22,0.77,53.38709065778384,-2.673957895502416
CH26-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Fi__SCMY_PC1033334_526_20260405-BODS_V1_1.xml,PC1033334:526,26,VJ25,SCMY:PC1033334:526:26,Guilden Sutton - Ellesmere Port,inbound,16:40:00,Saturday,58.0,Saturday,2026-02-14,16,0.11,53.3902787384001,-2.74761206967855
X2-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Fina__SCMY_PC1033334_224_20260405-BODS_V1_1.xml,PC1033334:224,2,VJ755,SCMY:PC1033334:224:2,Chester - Ellesmere Port - Runcorn,inbound,17:35:00,Saturday,31.0,Saturday,2026-02-28,17,6.53,53.40795849630185,-2.870200923614528
6-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Final__SCMY_PC1033334_390_20260405-BODS_V1_1.xml,PC1033334:390,6,VJ1075,SCMY:PC1033334:390:6,"Rivacre, Naylor Place - Ledsham, Bayweaver Street",outbound,08:33:00,"Monday,Tuesday,Wednesday,Thursday,Friday",21.0,Thursday,2026-05-14,8,-0.69,53.47977851405914,-2.792253983803891
53-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_19_20260103-BODS_V1_1.xml,PC1033334:19,53,VJ2177,SCMY:PC1033334:19:53,Queen Square - Crosby,inbound,13:01:00,"Monday,Tuesday,Wednesday,Thursday,Friday",53.0,Wednesday,2026-02-11,13,0.97,53.471100518433964,-2.8602963843340636
19-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_14_20260719-BODS_V1_1.xml,PC1033334:14,19,VJ101,SCMY:PC1033334:14:19,Liverpool - Kirkby,outbound,08:30:00,"Monday,Tuesday,Wednesday,Thursday,Friday",48.0,Friday,2025-08-08,8,10.78,53.40695794914232,-2.936034264815297
20-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_15_20260719-BODS_V1_1.xml,PC1033334:15,20,VJ705,SCMY:PC1033334:15:20,Towerhill - Liverpool,inbound,09:46:00,Sunday,56.0,Sunday,2026-06-14,9,10.09,53.427964310975575,-2.7374637242473554
20-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_15_20260103-BODS_V1_1.xml,PC1033334:15,20,VJ3181,SCMY:PC1033334:15:21,Queen Square Bus Station - Minstead Avenue,outbound,12:37:00,"Monday,Tuesday,Wednesday,Thursday,Friday",58.0,Tuesday,2026-03-31,12,-0.48,53.452027717905175,-2.961528098472756
5-None--SCMY-CZ-2026-03-29-Chester_July_2026_(SchOut)__SCMY_PC1033334_198_20260719-BODS_V1_1.xml,PC1033334:198,5,VJ1533,SCMY:PC1033334:198:5,Chester - Wrexham,outbound,14:38:00,"Monday,Tuesday,Wednesday,Thursday,Friday",23.0,Monday,2025-09-22,14,7.06,53.41842544624882,-2.929374605310494
20-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_15_20260103-BODS_V1_1.xml,PC1033334:15,20,VJ3277,SCMY:PC1033334:15:20,Towerhill - Liverpool,inbound,19:17:00,"Monday,Tuesday,Wednesday,Thursday,Friday",52.0,Monday,2026-01-26,19,6.88,53.41740176750961,-2.675206702986378
10A-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_5_20260719-BODS_V1_1.xml,PC1033334:5,10A,VJ2847,SCMY:PC1033334:5:10A,Liverpool - St Helens,outbound,15:25:00,"Monday,Tuesday,Wednesday,Thursday,Friday",102.0,Friday,2026-06-19,15,1.78,53.35623483744814,-2.7103535574295443
20-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_15_20260103-BODS_V1_1.xml,PC1033334:15,20,VJ3146,SCMY:PC1033334:15:21,Northwood - Liverpool,inbound,10:23:00,"Monday,Tuesday,Wednesday,Thursday,Friday",69.0,Friday,2026-05-29,10,1.69,53.31573268596547,-2.812863128584806
CH53-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Fi__SCMY_PC1033334_188_20260405-BODS_V1_1.xml,PC1033334:188,52,VJ527,SCMY:PC1033334:188:53,Chester Bus Interchange - Kingsway,outbound,12:10:00,"Monday,Tuesday,Wednesday,Thursday,Friday",13.0,Monday,2026-01-26,12,0.16,53.377275815888126,-2.845134953787557
217-None--SCMY-MEGI-2025-08-31-Gillmoss_November_2025_Sch_Change___SCMY_PC1033334_113_20260103-BODS_V1_1.xml,PC1033334:113,217,VJ69,SCMY:PC1033334:113:217,Tower Hill - Huyton,outbound,13:15:00,"Monday,Tuesday,Wednesday,Thursday,Friday",57.0,Thursday,2026-03-26,13,3.5,53.3727271886098,-2.8246664020183307
CH9-None--SCMY-CZ-2026-03-29-Chester_July_2026_(SchOut)__SCMY_PC1033334_397_20260719-BODS_V1_1.xml,PC1033334:397,9,VJ613,SCMY:PC1033334:397:9,"Pipers Ash, Crossley Crescent - Chester Bus Interchange",inbound,12:39:00,"Monday,Tuesday,Wednesday,Thursday,Friday",11.0,Friday,2026-07-03,12,8.94,53.474993932792366,-2.717989358187743
82-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_106_20260103-BODS_V1_1.xml,PC1033334:106,82,VJ2671,SCMY:PC1033334:106:82,Paradise St - Garston,outbound,11:38:00,"Monday,Tuesday,Wednesday,Thursday,Friday",37.0,Friday,2026-01-16,11,4.79,53.360177967715195,-2.822985403229962
20-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_15_20260103-BODS_V1_1.xml,PC1033334:15,20,VJ3119,SCMY:PC1033334:15:20,Paradise St - Towerhill,outbound,08:47:00,"Monday,Tuesday,Wednesday,Thursday,Friday",59.0,Friday,2026-02-13,8,-0.11,53.42378081582808,-2.8711603066951215
ME14-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_3_20260719-BODS_V1_1.xml,PC1033334:3,14,VJ395,SCMY:PC1033334:3:14,Liverpool - Croxteth,outbound,16:55:00,Sunday,34.0,Sunday,2026-03-29,16,14.22,53.34427071734275,-2.666504435206861
ME14-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_3_20260719-BODS_V1_1.xml,PC1033334:3,14,VJ489,SCMY:PC1033334:3:14,Liverpool - Croxteth,outbound,13:37:00,"Monday,Tuesday,Wednesday,Thursday,Friday",40.0,Tuesday,2026-01-20,13,13.26,53.39348352751735,-2.8136277392696947
CHPR2-None--SCMY-CZ-2026-03-29-Chester_July_2026_(SchOut)__SCMY_PC1033334_382_20260719-BODS_V1_1.xml,PC1033334:382,PR2,VJ857,SCMY:PC1033334:382:PR2,Boughton Heath PR - Chester,outbound,10:15:00,"Monday,Tuesday,Wednesday,Thursday,Friday",20.0,Monday,2026-05-04,10,1.43,53.4625849748591,-2.8518864858080275
17-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_12_20260103-BODS_V1_1.xml,PC1033334:12,17,VJ697,SCMY:PC1033334:12:17A,Liverpool - Kirby Ind Est,inbound,10:58:00,"Monday,Tuesday,Wednesday,Thursday,Friday",64.0,Friday,2026-02-06,10,5.51,53.44659489381398,-2.9360856038545236
20-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_15_20260103-BODS_V1_1.xml,PC1033334:15,20,VJ3257,SCMY:PC1033334:15:21,Northwood - Liverpool,inbound,17:54:00,"Monday,Tuesday,Wednesday,Thursday,Friday",79.0,Tuesday,2026-04-14,17,-1.49,53.3404737063228,-2.7191350531245972
17-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_12_20260103-BODS_V1_1.xml,PC1033334:12,17,VJ678,SCMY:PC1033334:12:17,Liverpool - Kirby Ind Est,inbound,09:00:00,"Monday,Tuesday,Wednesday,Thursday,Friday",40.0,Tuesday,2025-12-09,9,7.92,53.45143709158169,-2.8035144210482947
10A-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_5_20260719-BODS_V1_1.xml,PC1033334:5,10A,VJ2818,SCMY:PC1033334:5:10A,Liverpool - St Helens,outbound,10:41:00,"Monday,Tuesday,Wednesday,Thursday,Friday",83.0,Wednesday,2025-10-29,10,0.02,53.47791025309764,-2.6819094770853575
82-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_106_20260719-BODS_V1_1.xml,PC1033334:106,82,VJ1856,SCMY:PC1033334:106:82,Paradise St - Garston,outbound,14:08:00,"Monday,Tuesday,Wednesday,Thursday,Friday",37.0,Thursday,2026-01-15,14,-0.96,53.40746795812017,-2.881290650244767
CH16-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Fi__SCMY_PC1033334_202_20260405-BODS_V1_1.xml,PC1033334:202,16,VJ1400,SCMY:PC1033334:202:16,Chester - Saltney,inbound,09:29:00,Sunday,27.0,Sunday,2025-11-16,9,1.36,53.409244685810926,-2.7074279138960513
CH14-None--SCMY-CZ-2026-03-29-Chester_July_2026_(SchOut)__SCMY_PC1033334_197_20260719-BODS_V1_1.xml,PC1033334:197,14,VJ1160,SCMY:PC1033334:197:14,Chester - Blacon Parade,outbound,07:15:00,"Monday,Tuesday,Wednesday,Thursday,Friday",34.0,Friday,2026-01-09,7,3.81,53.40751101977343,-2.9743568110509835
5-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Final__SCMY_PC1033334_198_20260405-BODS_V1_1.xml,PC1033334:198,5,VJ1761,SCMY:PC1033334:198:5,Chester - Wrexham,outbound,12:43:00,"Monday,Tuesday,Wednesday,Thursday,Friday",23.0,Thursday,2025-10-30,12,9.82,53.31913542505437,-2.87736116158856
217-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_113_20260719-BODS_V1_1.xml,PC1033334:113,217,VJ2632,SCMY:PC1033334:113:217,Huyton - Tower Hill,inbound,07:35:00,Saturday,27.0,Saturday,2026-06-13,7,11.39,53.4340029383717,-2.750805321646162
4-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_573_20260103-BODS_V1_1.xml,PC1033334:573,4,VJ3536,SCMY:PC1033334:573:4,"Liverpool ONE, Stand 8 - Liverpool ONE, Stand 8",outbound,06:49:00,"Monday,Tuesday,Wednesday,Thursday,Friday",48.0,Monday,2025-12-22,6,3.96,53.4013735169231,-2.9383683938953227
19-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_14_20260719-BODS_V1_1.xml,PC1033334:14,19,VJ137,SCMY:PC1033334:14:19,Liverpool - Kirkby,outbound,12:15:00,"Monday,Tuesday,Wednesday,Thursday,Friday",46.0,Monday,2026-04-20,12,1.17,53.33265250159342,-2.7589901742919856
53-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_19_20260103-BODS_V1_1.xml,PC1033334:19,53,VJ2221,SCMY:PC1033334:19:53,Queen Square - Crosby,inbound,19:53:00,"Monday,Tuesday,Wednesday,Thursday,Friday",40.0,Monday,2025-08-18,19,1.32,53.4236217076639,-2.7725133335938796
CH16-None--SCMY-CZ-2026-03-29-Chester_July_2026_(SchOut)__SCMY_PC1033334_202_20260719-BODS_V1_1.xml,PC1033334:202,16,VJ417,SCMY:PC1033334:202:16,Chester - Saltney,inbound,17:26:00,"Monday,Tuesday,Wednesday,Thursday,Friday",33.0,Thursday,2026-05-14,17,11.91,53.34602893432306,-2.8766123622370112
CH51-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Fi__SCMY_PC1033334_527_20260405-BODS_V1_1.xml,PC1033334:527,51,VJ850,SCMY:PC1033334:527:51,"Chester Interchange, Stand E - Weston Grove, Shops",outbound,17:54:00,Sunday,11.0,Sunday,2026-03-01,17,1.39,53.37412016688964,-2.9327932471371017
10A-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_5_20260719-BODS_V1_1.xml,PC1033334:5,10A,VJ2872,SCMY:PC1033334:5:10A,St Helens - Liverpool,inbound,20:21:00,"Monday,Tuesday,Wednesday,Thursday,Friday",64.0,Friday,2025-12-12,20,-0.91,53.40319573625699,-2.7571837222482625
19-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_14_20260103-BODS_V1_1.xml,PC1033334:14,19,VJ1061,SCMY:PC1033334:14:19,Liverpool - Kirkby,outbound,11:27:00,"Monday,Tuesday,Wednesday,Thursday,Friday",46.0,Monday,2026-02-16,11,4.32,53.367558077136714,-2.7763274911698077
CH9-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Fin__SCMY_PC1033334_397_20260405-BODS_V1_1.xml,PC1033334:397,9,VJ1932,SCMY:PC1033334:397:9,"Pipers Ash, Crossley Crescent - Chester Bus Interchange",inbound,18:03:00,"Monday,Tuesday,Wednesday,Thursday,Friday",14.0,Tuesday,2026-02-10,18,8.22,53.33608643090676,-2.8897885485470756
CH9-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Fin__SCMY_PC1033334_397_20260405-BODS_V1_1.xml,PC1033334:397,9,VJ1897,SCMY:PC1033334:397:9,"Chester Interchange, Stand J - Pipers Ash, Crossley Crescent",outbound,08:55:00,"Monday,Tuesday,Wednesday,Thursday,Friday",12.0,Tuesday,2026-03-10,8,3.71,53.438748147144125,-2.8946891653264766
5-None--SCMY-CZ-2026-03-29-Chester_July_2026_(SchOut)__SCMY_PC1033334_198_20260719-BODS_V1_1.xml,PC1033334:198,5,VJ1550,SCMY:PC1033334:198:5,Chester - Wrexham,inbound,18:11:00,"Monday,Tuesday,Wednesday,Thursday,Friday",16.0,Tuesday,2025-09-23,18,17.54,53.4487586941791,-2.68815231312568
19-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_14_20260103-BODS_V1_1.xml,PC1033334:14,19,VJ1005,SCMY:PC1033334:14:19X,Liverpool - Kirkby,outbound,05:07:00,"Monday,Tuesday,Wednesday,Thursday,Friday",53.0,Thursday,2025-08-14,5,2.08,53.433040198783644,-2.9617870119686116
17-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_12_20260103-BODS_V1_1.xml,PC1033334:12,17,VJ757,SCMY:PC1033334:12:17A,Liverpool - Kirkby Ind Est,outbound,17:07:00,"Monday,Tuesday,Wednesday,Thursday,Friday",80.0,Friday,2026-06-05,17,5.44,53.43746855199179,-2.827827800548928
CH100-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-F__SCMY_PC1033334_532_20260404-BODS_V1_1.xml,PC1033334:532,100,VJ31,SCMY:PC1033334:532:100,Chester - City Tour,outbound,09:18:00,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",55.0,Tuesday,2026-03-31,9,0.62,53.34513747160884,-2.895119961216212
771-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_469_20251023-BODS_V1_1.xml,PC1033334:469,771,VJ3571,SCMY:PC1033334:469:771,Tower Hill - Kirkby HS,outbound,07:50:00,"Monday,Tuesday,Wednesday,Thursday,Friday",40.0,Wednesday,2025-08-06,7,9.19,53.316902439741575,-2.716754501147078
471-None--SCMY-RF-2026-03-29-Birkenhead_March_2026-Refresh2__SCMY_PC1033334_189_20260329-BODS_V1_1.xml,PC1033334:189,471,VJ640,SCMY:PC1033334:189:472,Liverpool - Heswall Bus Station,outbound,13:00:00,"Monday,Tuesday,Wednesday,Thursday,Friday",50.0,Friday,2025-10-10,13,-1.15,53.44139684276594,-2.737826025398951
CHPR2-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-F__SCMY_PC1033334_382_20260405-BODS_V1_1.xml,PC1033334:382,PR2,VJ358,SCMY:PC1033334:382:PR2,Boughton Heath PR - Chester,outbound,08:45:00,"Monday,Tuesday,Wednesday,Thursday,Friday",20.0,Wednesday,2025-12-31,8,2.95,53.3726418180476,-2.726234282428785
