Version,ResponseTimestamp (ServiceDelivery),ProducerRef,ResponseTimestamp (VehicleMonitoringDelivery),RequestMessageRef,ValidUntil,ShortestPossibleCycle,RecordedAtTime,ItemIdentifier,ValidUntilTime,LineRef,DirectionRef,DataFrameRef,DatedVehicleJourneyRef,PublishedLineName,OperatorRef,OriginRef,OriginName,DestinationRef,DestinationName,OriginAimedDepartureTime,Longitude,Latitude,Bearing,VehicleRef,BlockRef,DriverRef
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T17:59:55+00:00,22dc88de-6e6a-4611-b12d-f4dc935297df,2026-07-11T20:17:18.024000+00:00,35,outbound,2026-07-11,5071,35,OXBC,340002072E3,Oxford_City_Centre__Westgate,340004133SNE,Abingdon_Town_Centre__Stratton_Way,2026-07-11T17:15:00+00:00,-1.282798,51.670122,-,80411,13195,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T20:12:11+00:00,a03fdf53-3fd5-4deb-b760-53c4e72faa09,2026-07-11T20:17:18.024000+00:00,850,outbound,2026-07-11,5063,850,CSLB,040000002959,High_Wycombe__High_Wycombe_BusStn,039028170001,Reading_Town_Centre__Friar_Street,2026-07-11T19:20:00+00:00,-0.873328,51.520353,151.0,80210,101074,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T20:12:01+00:00,682e48d8-2e27-4d7f-9b7c-91eaa84ff4cb,2026-07-11T20:17:18.024000+00:00,6,outbound,2026-07-11,5087,6,OXBC,340000005C3,Oxford_City_Centre__Magdalen_Street,340021003PMS,Lower_Wolvercote__Papermill_Square,2026-07-11T20:05:00+00:00,-1.267742,51.774486,337.0,80419,13889,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T18:56:11+00:00,54e48181-aa41-4021-a787-48a44fff836b,2026-07-11T20:17:18.024000+00:00,X36,inbound,2026-07-11,5050,X36,THTR,3400WAN02SOU,Charlton__Seymore_Crescent,340021033COL,Didcot__Tesco_Depot,2026-07-11T17:56:00+00:00,-1.245928,51.622593,-,80607,8344,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T17:25:58+00:00,a343cc93-e229-4c53-8d7d-0fee83f4fbf4,2026-07-11T20:17:18.024000+00:00,64,inbound,2026-07-11,5008,64,PULH,468000023,Swindon__Fleming_Way,340000831OPT,Witney__Market_Square,2026-07-11T16:25:00+00:00,-1.485743,51.786593,-,80806,50385,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T18:25:49+00:00,272fa85a-596d-43dc-a3f8-3a77b072951c,2026-07-11T20:17:18.024000+00:00,33A,outbound,2026-07-11,5049,33A,THTR,340000176ST3,Didcot__Parkway_Station,340000393TH,Henley_on_Thames__Hart_Street,2026-07-11T17:30:00+00:00,-0.903687,51.53761,-,80901,8302,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T18:13:12+00:00,a4ab7395-51e8-435a-9bb7-b9298895ea12,2026-07-11T20:17:18.024000+00:00,OXF,inbound,2026-07-11,7078,OXF,OXBC,4400CY0361,Gatwick_Airport__South_Terminal_Coach_Station,34000000005,Oxford_City_Centre__Gloucester_Green_Bus_Station,2026-07-11T15:20:00+00:00,-1.263783,51.75304,-,80030,13297,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T17:10:41+00:00,7fbc9a2e-acd6-46ea-9a6e-26b845f4df73,2026-07-11T20:17:18.024000+00:00,102,inbound,2026-07-11,5148,102,CSLB,4900801620,Heathrow_Airport__Heathrow_Central_Bus_Station,040000000441,High_Wycombe__High_Wycombe_BusStn,2026-07-11T15:45:00+00:00,-0.757,51.631194,-,80613,101041,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T20:11:29+00:00,1cbce9b8-1a46-4d4d-a435-32a7ae4840dc,2026-07-11T20:17:18.024000+00:00,15,inbound,2026-07-11,5086,15,OXBC,340001332OUT,Wood_Farm__Atkyns_Road_Shops,340001993P2,Oxford_City_Centre__Police_Station,2026-07-11T19:45:00+00:00,-1.257665,51.748423,-,80712,14184,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T20:12:10+00:00,4639746c-147c-4ea7-999f-55568a030cc0,2026-07-11T20:17:18.024000+00:00,3A,inbound,2026-07-11,5180,3A,OXBC,340000340KSO,Littlemore__Kassam_Stadium,340000006R6,Oxford_City_Centre__Railway_Station,2026-07-11T20:00:00+00:00,-1.223903,51.721825,9.0,80713,12781,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T20:12:05+00:00,5c024c9e-1cfc-494b-b18a-907c5c47f688,2026-07-11T20:17:18.024000+00:00,35,outbound,2026-07-11,5081,35,OXBC,340000864A2,Oxford_City_Centre__George_Street,340000078HS,Abingdon_Town_Centre__High_Street,2026-07-11T19:40:00+00:00,-1.244233,51.712683,169.0,80413,14192,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T18:23:00+00:00,0dd1cda0-94b7-40cf-b1ba-021281b633d2,2026-07-11T20:17:18.024000+00:00,X36,inbound,2026-07-11,5048,X36,THTR,3400WAN02SOU,Charlton__Seymore_Crescent,340021033COL,Didcot__Tesco_Depot,2026-07-11T17:26:00+00:00,-1.247422,51.622694,-,80929,1976,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T19:49:56+00:00,12002f8e-22d0-4dce-9c79-4aca57239325,2026-07-11T20:17:18.024000+00:00,400,outbound,2026-07-11,5151,400,OXBC,340000749OPP,Thame__Town_Hall,340000006R6,Oxford_City_Centre__Railway_Station,2026-07-11T19:45:00+00:00,-0.978946,51.747869,-,80708,14269,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T09:47:56+00:00,1e8a7b30-e7e1-4789-bd47-4abfebc83cd2,2026-07-11T20:17:18.024000+00:00,X34,inbound,2026-07-11,5028,X34,THTR,030059120004,Newbury__Newbury_Wharf,340001385SOU,Didcot__Haydon_Road,2026-07-11T08:40:00+00:00,-1.295631,51.490838,-,80687,450116,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T16:46:25+00:00,f93fcb95-0402-4e92-bea1-78a430f65fd7,2026-07-11T20:17:18.024000+00:00,WP1,inbound,2026-07-11,9016,WP1,OXBC,340026018GAR,Waterperry__Waterperry_Gardens,340000009PR3,Thornhill__Thornhill_Park_and_Ride,2026-07-11T16:30:00+00:00,-1.181738,51.762346,321.0,80598,13012,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T20:11:53+00:00,f7060703-2ac7-4cbe-a0dd-14d896f32bfa,2026-07-11T20:17:18.024000+00:00,300,inbound,2026-07-11,5144,300,OXBC,340000420PR,Oxford__Pear_Tree_Park_and_Ride,340000418PR,Oxford__Redbridge_Park_and_Ride,2026-07-11T19:45:00+00:00,-1.256411,51.748349,172.0,80767,13734,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T20:03:44+00:00,374d1201-61c5-4058-b55f-0f54e9ffd336,2026-07-11T20:17:18.024000+00:00,5,outbound,2026-07-11,5161,5,OXBC,340000006R2,Oxford_City_Centre__Railway_Station,340001226OPP,Blackbird_Leys__Knights_Road,2026-07-11T19:25:00+00:00,-1.201445,51.720535,333.0,80727,13974,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T17:18:27+00:00,769ca68f-a4b6-47c1-a70d-a36986c6003d,2026-07-11T20:17:18.024000+00:00,X32,inbound,2026-07-11,5050,X32,THTR,340021032SCH,Didcot__Cockcroft_Road_Shops,340000008JR2,John_Radcliffe_Hospital__JR_Hospital_Main_Entrance,2026-07-11T16:53:00+00:00,-1.2427,51.610793,-,80666,8308,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T20:11:54+00:00,d5848641-051d-4409-ac24-c1ecb67eb6d9,2026-07-11T20:17:18.024000+00:00,37,inbound,2026-07-11,5056,37,CSLB,036006218218,Windsor_Town_Centre__Windsor_Castle,040000002961,High_Wycombe__Bus_Station,2026-07-11T19:50:00+00:00,-0.663103,51.479892,281.0,80472,80395,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T20:12:14+00:00,50c80d2c-9be7-41e3-b597-2a88b00a4c45,2026-07-11T20:17:18.024000+00:00,X3,outbound,2026-07-11,5083,X3,OXBC,340001328OPA,Barton__Atkinson_Close,340000078HS,Abingdon_Town_Centre__High_Street,2026-07-11T19:55:00+00:00,-1.221548,51.767037,200.0,80777,14098,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T18:38:55+00:00,02a034d5-21d0-43a0-bfff-19f7b7b4e50f,2026-07-11T20:17:18.024000+00:00,3A,outbound,2026-07-11,5153,3A,OXBC,340000006R6,Oxford_City_Centre__Railway_Station,340000340KAS,Littlemore__Kassam_Stadium,2026-07-11T18:00:00+00:00,-1.20926,51.715709,-,80416,14239,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T20:04:16+00:00,52ec0de1-3d5f-4186-b950-ae56238dfdca,2026-07-11T20:17:18.024000+00:00,X35,inbound,2026-07-11,5104,X35,THTR,340002019OUT,Grove__Mandhill_Close,340001385SOU,Didcot__Haydon_Road,2026-07-11T19:00:00+00:00,-1.242018,51.610619,-,80651,450022,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T20:12:09+00:00,69d2baae-353b-45e2-8a8d-bf2711403e5c,2026-07-11T20:17:18.024000+00:00,X35,inbound,2026-07-11,5106,X35,THTR,340000789MPB,Wantage__Market_Place,340001385SOU,Didcot__Haydon_Road,2026-07-11T19:45:00+00:00,-1.303639,51.598523,99.0,80622,8357,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T16:46:19+00:00,9bb20185-d603-420a-851d-59b9a4d861a8,2026-07-11T20:17:18.024000+00:00,79A,inbound,2026-07-11,5010,79A,CSLB,040000002173,Chesham__Broadway,040000002173,Chesham__Broadway,2026-07-11T16:30:00+00:00,-0.613178,51.706419,114.0,80588,450150,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T18:44:47+00:00,72164ed5-7b68-4ca5-ab23-1bbe48c752db,2026-07-11T20:17:18.024000+00:00,15,outbound,2026-07-11,5025,15,CSLB,03700556,Slough_Town_Centre__Wellington_Street_Stop_D,036006009010,Maidenhead_Town_Centre__Frascati_Way,2026-07-11T18:10:00+00:00,-0.723846,51.521219,-,80527,100906,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T20:10:33+00:00,011b79a0-5b99-456e-b495-e724fef2fd44,2026-07-11T20:17:18.024000+00:00,700,outbound,2026-07-11,5115,700,OXBC,340001230ERB,Blackbird_Leys__Sandy_Lane_West,340001345BRC,Kidlington__Churchill_Road,2026-07-11T18:48:00+00:00,-1.28306,51.818077,-,80716,14380,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T17:27:46+00:00,07a688bb-f2c2-4bfc-8268-06618607bf7d,2026-07-11T20:17:18.024000+00:00,32,inbound,2026-07-11,5084,32,CSLB,040000003206,Micklefield_Estate__Woodside_Road,040000003384,Booker__Asda,2026-07-11T16:48:00+00:00,-0.78023,51.612219,237.0,80477,450092,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T17:07:26+00:00,352f6b00-f6ae-4ffe-a32b-df0ab10f8adf,2026-07-11T20:17:18.024000+00:00,34,outbound,2026-07-11,5039,34,CSLB,040000002960,High_Wycombe__High_Wycombe_BusStn,040000003557,Lane_End__The_Row,2026-07-11T16:40:00+00:00,-0.832189,51.622788,-,80514,450076,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T19:29:53+00:00,43407a90-26be-4763-8165-d735afdb8cbe,2026-07-11T20:17:18.024000+00:00,103,inbound,2026-07-11,5178,103,CSLB,03700094,Langley__Axis_Park,040000000441,High_Wycombe__High_Wycombe_BusStn,2026-07-11T18:00:00+00:00,-0.756807,51.631451,-,80441,100816,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T18:54:12+00:00,1365071d-363b-4bb6-b7e6-d64e7189eca9,2026-07-11T20:17:18.024000+00:00,OXF,inbound,2026-07-11,7082,OXF,OXBC,490008016CS,Heathrow_Airport__Heathrow_Central_Bus_Station,34000000005,Oxford_City_Centre__Gloucester_Green_Bus_Station,2026-07-11T17:15:00+00:00,-1.263643,51.753211,-,80069,13971,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T20:12:05+00:00,3e396360-fe2c-478c-a5c6-bdd784da2f5a,2026-07-11T20:17:18.024000+00:00,5,inbound,2026-07-11,5168,5,OXBC,340001230ERB,Blackbird_Leys__Sandy_Lane_West,340000006R2,Oxford_City_Centre__Railway_Station,2026-07-11T19:26:00+00:00,-1.266212,51.752805,268.0,80790,14008,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T18:21:29+00:00,3fee58ec-d692-4110-9ea6-9af9455f5520,2026-07-11T20:17:18.024000+00:00,33,outbound,2026-07-11,5051,33,THTR,340000078HS,Abingdon_Town_Centre__High_Street,340000963MB,Wallingford__Market_Place,2026-07-11T17:21:00+00:00,-1.125115,51.599547,9.0,80915,8369,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T20:12:11+00:00,036f18b8-ba67-4ac4-b136-82c87ada786f,2026-07-11T20:17:18.024000+00:00,33,outbound,2026-07-11,5055,33,THTR,340000078HS,Abingdon_Town_Centre__High_Street,340000963MB,Wallingford__Market_Place,2026-07-11T19:47:00+00:00,-1.279029,51.634072,189.0,80909,1997,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T18:17:51+00:00,bda57102-9190-41e1-8b82-de284c344e4e,2026-07-11T20:17:18.024000+00:00,4A,inbound,2026-07-11,5106,4A,OXBC,340001812WWC,Botley__Westminster_Way,340001093OPB,Oxford__Osney_Island,2026-07-11T17:55:00+00:00,-1.274002,51.752461,-,80785,12985,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T11:55:58+00:00,6809ad02-34fd-43c5-ba9f-82b4417b6994,2026-07-11T20:17:18.024000+00:00,700,outbound,2026-07-11,5059,700,OXBC,340001230ERB,Blackbird_Leys__Sandy_Lane_West,340001345OBR,Kidlington__Churchill_Road,2026-07-11T11:48:00+00:00,-1.193581,51.722751,-,80745,14376,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T17:17:11+00:00,e66eae37-5d8a-4205-ada0-ce5e2be9c4f2,2026-07-11T20:17:18.024000+00:00,458,inbound,2026-07-11,5042,458,CSLB,490000246O,Uxbridge__Uxbridge_Station,03700340,Slough_Town_Centre__Wellington_Street_Stop_H,2026-07-11T16:45:00+00:00,-0.59006,51.509814,281.0,80845,100970,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T20:12:15+00:00,95eefe13-8408-4bdc-8d44-7ac1b6bc2df5,2026-07-11T20:17:18.024000+00:00,X1,inbound,2026-07-11,5058,X1,OXBC,340000789BH,Wantage__Market_Place,340000006R3,Oxford_City_Centre__Railway_Station,2026-07-11T19:10:00+00:00,-1.263132,51.749795,94.0,80669,14211,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T20:11:56+00:00,c8d053a2-2355-4c93-8790-ebc2391f9e00,2026-07-11T20:17:18.024000+00:00,OXF,inbound,2026-07-11,7094,OXF,OXBC,4400CY0361,Gatwick_Airport__South_Terminal_Coach_Station,34000000005,Oxford_City_Centre__Gloucester_Green_Bus_Station,2026-07-11T18:20:00+00:00,-0.858667,51.626869,274.0,80040,13759,-
